2015-03-02,Armon Dadgar,f4e5b10952,physical: Adding interface, in-mem implementation, and skeleton for Consul/File
2015-03-05,Armon Dadgar,9f6ecdabc9,vault: First pass at a barrier
2015-03-11,Armon Dadgar,df49aa1f88,vault: First pass at Unseal
2015-03-11,Armon Dadgar,76870a1449,vault: Setup the mount tables after load
2015-03-12,Mitchell Hashimoto,e3fbe54a04,http: mask user error away from unseal since its not actionable
2015-03-13,Armon Dadgar,2ae7992a98,vault: integrate expiration manager with core setup/teardown
2015-03-13,Mitchell Hashimoto,d39b117281,helper/backend: start this thing
2015-03-15,JT,6aacbffde4,update hero
2015-03-15,captainill,e165e89f08,update tagline margin
2015-03-16,Mitchell Hashimoto,3f85dcba10,http: /v1/sys/mount DELETE
2015-03-16,Armon Dadgar,68457c9b2d,vault: Adding sys/revoke
2015-03-17,Armon Dadgar,8cd56d4058,vault: Adding policy parsing
2015-03-18,Armon Dadgar,ae8de95e0f,vault: First pass token store
2015-03-19,Armon Dadgar,8e29253c2b,vault: Change constant name
2015-03-21,Mitchell Hashimoto,c3342cd344,logical/aws: refactor access key create to the secret file
2015-03-24,Armon Dadgar,5cbecba333,logical: Special error for permission denied
2015-03-27,Armon Dadgar,1607ddbde3,vault: Adding basic audit table load/unload
2015-03-30,Mitchell Hashimoto,c67357342c,logical: add credential info to logical backend structures
2015-03-31,Mitchell Hashimoto,d93bdacbbd,vault: require root token for seal
2015-03-31,Mitchell Hashimoto,456c4b0b21,command/write: new format
2015-04-01,Armon Dadgar,104c252283,audit: Adding basic interface methods
2015-04-01,Mitchell Hashimoto,c6cfac1ff8,command/auth-disable
2015-04-01,Armon Dadgar,10f6308ab9,vault: TODO cleanups
2015-04-02,Mitchell Hashimoto,ce9ed56be6,http: help
2015-04-03,Armon Dadgar,1d2feafee3,physical: Adding Consul backend
2015-04-04,Mitchell Hashimoto,3111c2396e,api: client library methods to get tokens
2015-04-07,Mitchell Hashimoto,ade573b84d,website: auth on the way
2015-04-07,Mitchell Hashimoto,fee874632f,vault: proper meta parameter for vaultstorage (tests pass now)
2015-04-08,Mitchell Hashimoto,b502a2b3d4,vault: lookup-self should allow unauthenticated requests
2015-04-10,Mitchell Hashimoto,8a904cc828,website: vs
2015-04-10,Mitchell Hashimoto,333bdac62d,vault: the expiration time should be relative to the issue time
2015-04-13,Armon Dadgar,723860fa96,command: Set minimum TLS version to 1.2
2015-04-14,Armon Dadgar,9597035488,physical: First pass at HABackend
2015-04-15,Armon Dadgar,0123fdf9a4,vault: Allow AES key to be up to 256 bits. Fixes #7
2015-04-17,Mitchell Hashimoto,fe747fbcaa,credential/*: adhere to new API
2015-04-18,Mitchell Hashimoto,4501b62953,website: so much API docs
2015-04-18,Mitchell Hashimoto,b37f8332ed,logical/consul: config/access is the new path for config
2015-04-19,Mitchell Hashimoto,f14d970598,website: doc userpass
2015-04-20,Armon Dadgar,538106db1c,website: document sys/leader
2015-04-21,Mitchell Hashimoto,628d6e4e7a,audit: hash all the req/resp structures
2015-04-22,Jack Pearkes,0095f1d388,website: use new step oriented system for interactive demo
2015-04-23,Jack Pearkes,5696aa910a,website: "Launch Interactive Tutorial"
2015-04-23,Armon Dadgar,13d47848c1,logical/framework: Supporting list of path map
2015-04-25,Armon Dadgar,cc69073b37,website: adding mysql docs skeleton
2015-04-27,Seth Vargo,6b62366d2b,Add Quick Start for Postgresql
2015-04-27,Armon Dadgar,478a5965ee,secret/aws: Using roles instead of policy
2015-04-27,Mitchell Hashimoto,af6f634149,Godeps to lock in dependencies
2015-04-28,Mitchell Hashimoto,ae1c71085c,helper/passsword: fix windows compilation
2015-04-28,Andrew Williams,cfe60c4846,website: fix small typo
2015-04-28,Mitchell Hashimoto,f578efbd93,Merge pull request #61 from ceh/godep-cover
2015-04-28,Mitchell Hashimoto,a0376a20f0,command/server: disable mlock in dev mode
2015-04-28,Abhishek Chanda,aa90d268bf,Actually add the coverage script
2015-04-28,Mitchell Hashimoto,f98ef07ca1,Merge pull request #86 from JuanitoFatas/master
2015-04-30,Leo Cassarani,61841fd596,Add output of reading aws/config/root to the docs [ci skip]
2015-05-02,Mitchell Hashimoto,0128f35b85,v0.1.1
2015-05-03,Mitchell Hashimoto,0074f64701,Merge pull request #137 from ceh/make-bat-fix
2015-05-05,Spencer Herzberg,c4472a2446,cleanup zk HA leftover docs
2015-05-07,Armon Dadgar,47c71483ba,vault: fix detection of missing trailing slash. Fixes #157
2015-05-09,Seth Vargo,9e0bafd0ef,Merge pull request #179 from philips/fix-spelling-error
2015-05-11,Seth Vargo,74e1057259,Merge pull request #183 from knuckolls/patch-1
2015-05-11,Mitchell Hashimoto,03073c289d,update CL
2015-05-11,Mitchell Hashimoto,c559382c47,website: note PGP key
2015-05-12,Mitchell Hashimoto,c8f023795e,terraform: remove CBD for now while TF bug exists
2015-05-15,Nathan McCauley,47950d9efb,update info on keywhiz
2015-05-18,Armon Dadgar,83bcac9cac,Merge pull request #218 from jefferai/master
2015-05-20,Michael H. Oshita,c495d07d8a,Document that Vault Server needs to be running for vault help path
2015-05-20,Armon Dadgar,628e102419,Merge pull request #222 from DavidWittman/config-backend-check
2015-05-25,Ken Breeman,df08ed9722,Merge branch 'master' into physical_zookeeper_ha
2015-05-27,Armon Dadgar,69320aeb33,Merge pull request #266 from hashicorp/f-http
2015-05-27,Armon Dadgar,9747230ae5,vault: first pass at rekey
2015-05-28,Armon Dadgar,4731c48948,vault: Adding VerifyMaster to Barrier
2015-05-28,Armon Dadgar,fa9c85dbaf,vault: create upgrade path in HA mode
2015-05-31,Chad Whitacre,2d442a2b5e,fix line wrapping
2015-05-31,Seth Vargo,bdd6fed13f,Merge pull request #282 from whit537/patch-3
2015-06-01,Seth Vargo,669686f654,Merge pull request #270 from sheldonh/no_export_vault_token
2015-06-05,Jeff Mitchell,20ac7a46f7,Add acceptance tests
2015-06-15,Armon Dadgar,61f7c098f7,Merge pull request #341 from ryancurrah/ryancurrah-doc-transit-echofix
2015-06-17,Armon Dadgar,28dd283c93,builtin: fixing API change in logical framework
2015-06-17,Armon Dadgar,ee176b2f5d,command/auth: warn about the VAULT_TOKEN env var. Fixes #195
2015-06-18,Nate Brown,55e37392ad,Actually not logging auth in the response if nil
2015-06-24,esell,e3a3fc8ab1,cleanup the code a bit
2015-06-29,Armon Dadgar,1a085c1c89,vault: cleanups for the audit log changes
2015-06-30,Karl Gutwin,6668a6d7ef,Website docs.
2015-06-30,Vishal Nayak,d258b1819a,lease handling fix
2015-07-01,Vishal Nayak,2ebd10cdf4,Vault SSH: review rework: formatted and moved code
2015-07-05,Armon Dadgar,3af435d4b5,secret/transit: testing key derivation
2015-07-06,Armon Dadgar,d9c7349ad3,website: clarify changes in addition to feedback
2015-07-10,Vishal Nayak,c25525a22a,Vault SSH: Test case skeleton
2015-07-13,Armon Dadgar,10f23df605,website: update HA status, discourage ZK
2015-07-14,Bradley Girardeau,7ee2419323,ldap: add ability to set policies based on username as well as groups
2015-07-22,Armon Dadgar,3c7f311181,Merge pull request #419 from nbrownus/telemetry_names
2015-07-24,Armon Dadgar,49cdf87ab9,website: fixing details about HA backends
2015-07-28,Daniel Kaffee,844cb49b38,made documentation a bit more clear
2015-07-31,vishalnayak,e3cc910cea,Vault Test: Disabling mlock for logical.testing.Test()
2015-08-04,Armon Dadgar,b380090c47,Merge pull request #489 from ekristen/github-fix
2015-08-06,vishalnayak,044a2257e7,Vault SSH: Automate OTP typing if sshpass is installed
2015-08-11,Armon Dadgar,f4c7846438,Merge pull request #509 from ekristen/github-fix
2015-08-13,vishalnayak,2dd82aeb9a,Vault SSH: cidr to cidr_list
2015-08-18,vishalnayak,2e6a087d22,Vault SSH: doc update
2015-08-19,vishalnayak,de30c66fea,Vault SSH: Removing script file
2015-08-20,Jeff Mitchell,358849fbc3,Change "lease" parameter in the generic backend to be "ttl" to reduce confusion. "lease" is now deprecated but will remain valid until 0.4.
2015-08-24,vishalnayak,0843c3400b,Vault SSH: Documentation update
2015-08-26,Jeff Mitchell,989b33483b,Ensure that the 'file' audit backend can successfully open its given path before returning success. Fixes #550.
2015-08-27,vishalnayak,06ac073684,Vault SSH: Docs for default CIDR value
2015-08-31,vishalnayak,f67a12266e,Vault SSH: refactoring
2015-09-04,Armon Dadgar,4e77fd1e04,Merge pull request #591 from MarkVLK/patch-2
